title, author, description
Hacking Secret Cyphers with Python, Al Sweigart, Python book
Fundamentals of Python Programming, Richard L. Halterman, Python book
A Whirlwind Tour of Python, Jake VanderPlas, Python book
Data Structures and Algorithms in Python, B. R. Preiss, Python book
Extreme Perl, R. Nagier, Perl book
Embedding Perl in HTML with Mason, D. Rolsky, Perl book
Perl for the Web, C. Radcliff, Perl book
R Language for Programmers, John D. Cook, R book
The R Inferno, Patrick Burns, R book
R Packages, Hadley Wickham, R book